,start_station_id,start_lat,start_lng,borough,zip
1337,7049.04,40.7724607,-73.9468208,Manhattan,10028
1339,7723.01,40.809725,-73.953149,Manhattan,10027
1346,7648.16,40.802554,-73.933509,Manhattan,10035
1347,6492.04,40.75377336836039,-73.99937599897385,Manhattan,10001
1381,8009.05,40.825204849,-73.93632245100001,Manhattan,10039
1401,7701.21,40.80722,-73.9418,Manhattan,10027
1422,5470.12,40.720184445,-74.01011276199999,Manhattan,10013
1423,5137.10,40.71146364,-74.00552427,Manhattan,10038
1425,5703.13,40.72854745023944,-73.98175925016403,Manhattan,10009
1439,5247.10,40.714794874,-74.00586259399999,Manhattan,10007
1450,6257.03,40.744753838,-73.995524168,Manhattan,10011
1451,5755.14,40.73143724085228,-73.99490341544151,Manhattan,10012
1507,7188.10,40.776675105,-73.958927035,Manhattan,10028
1509,7079.06,40.773462892,-73.977774978,Manhattan,10023
1516,7886.02,40.818298999999996,-73.96040500000001,Manhattan,10115
1517,6578.01,40.75594159,-74.0021163,Manhattan,10199
1519,6182.02,40.74238787,-73.99726235,Manhattan,10011
1523,5238.05,40.71307916,-73.99851193,Manhattan,10278
1527,7365.13,40.7849032,-73.950503,Manhattan,10128
1528,8394.15,40.851024985,-73.928974628,Manhattan,10033
1540,5847.08,40.73191132323174,-74.008769094944,Manhattan,10014
1548,6717.06,40.76019252,-73.9912551,Manhattan,10019
1549,6756.05,40.761779189,-73.997148752,Manhattan,10036
1550,6955.01,40.768323302,-73.98884058,Manhattan,10019
1551,5297.02,40.715337899999994,-74.01658354,Manhattan,10285
1552,6925.09,40.7687620293096,-73.95840793848038,Manhattan,10035
1553,6948.10,40.76695317,-73.98169333,Manhattan,10019
1558,7092.06,40.77314236,-73.95856158,Manhattan,10075
1559,6732.01,40.761573,-73.972628,Manhattan,10022
1560,5065.04,40.70862144,-74.00722156,Manhattan,10038
1575,6602.05,40.75756989999999,-73.99098507,Manhattan,10036
1578,5506.14,40.72228087,-73.97668709,Manhattan,10009
1580,5755.01,40.72903917,-73.99404649,Manhattan,10012
1581,5659.05,40.72740794,-73.98142006,Manhattan,10009
1586,6306.06,40.74691959,-74.00451887,Manhattan,10011
1592,5616.08,40.727243,-73.976831,Manhattan,10009
1594,7942.21,40.823125839,-73.95588660199999,Manhattan,10031
1601,6224.03,40.74475148,-73.99915362,Manhattan,10011
1622,7409.08,40.7867947,-73.977112,Manhattan,10024
1628,7327.01,40.78294,-73.93077,Manhattan,10035
1635,5500.07,40.72243797,-74.00566443,Manhattan,10005
1637,6098.12,40.73866091428551,-73.98987293243407,Manhattan,10003
1639,5947.04,40.735445,-73.99431,Manhattan,10011
1640,6313.10,40.747573958954796,-73.97880077362059,Manhattan,10037
1641,5288.09,40.71473993,-74.00910627,Manhattan,10007
1647,7617.07,40.799484,-73.955613,Manhattan,10026
1650,5593.02,40.72502876,-73.99069656,Manhattan,10012
1652,5436.11,40.71978635452822,-73.97871628403664,Manhattan,10009
1712,5400.05,40.71870987,-74.0090009,Manhattan,10013
1714,7520.07,40.7919557,-73.968087,Manhattan,10025
1719,7188.13,40.778068065999996,-73.960808277,Manhattan,10028
1728,5391.06,40.71939226,-74.00247214,Manhattan,10013
1735,7488.24,40.7904828,-73.95033068,Manhattan,10029
1752,5114.06,40.70834698,-74.01713445,Manhattan,10280
1755,5033.01,40.70594513270881,-74.01321887969969,Manhattan,10006
1758,5532.01,40.723796129,-73.99919152300001,Manhattan,10012
1766,7432.09,40.7882213,-73.97041561,Manhattan,10024
1789,7682.01,40.8045555,-73.93968609999999,Manhattan,10037
1790,7365.08,40.7859201,-73.94860294,Manhattan,10029
1792,7458.03,40.78839,-73.9747,Manhattan,10024
1795,5270.07,40.715882182,-73.994187117,Manhattan,10002
1806,6398.06,40.75038,-73.98339,Manhattan,10018
